order_id,order_date,customer_id,total_price,product_id
7324,11/27/2023,2160,955.86,94
8938,8/31/2024,8497,984.91,1042
4238,12/5/2023,6295,649.18,755
10944,2/22/2024,2936,54.83,417
11075,8/14/2024,2994,320.24,552
13842,5/20/2024,5953,555.05,804
1126,11/17/2023,4825,308.21,1744
8310,8/9/2024,7873,957.72,141
6084,8/23/2024,5627,934.52,850
3161,11/1/2024,2086,488.16,334
57,5/26/2024,975,388.08,438
11179,2/6/2024,7024,24.32,1180
1860,9/30/2024,4276,42.33,724
9492,9/27/2024,4374,43.54,1226
2853,3/29/2024,1888,44.45,1984
51,5/16/2024,3177,735.84,550
11997,4/25/2024,5410,620.96,1601
6792,5/21/2024,7971,812.89,1924
9279,4/26/2024,995,241.51,1984
5292,8/3/2024,1259,123.95,984
8357,11/5/2023,4733,206.41,1727
14041,5/10/2024,7404,459.13,239
4657,7/25/2024,9938,423.73,1689
100,1/11/2024,3089,111.23,176
1802,8/31/2024,9808,677.87,751
7789,12/3/2023,8797,465.42,535
3325,9/4/2024,4478,475.69,1466
2843,12/26/2023,6169,432.37,1130
11500,9/15/2024,7978,675.62,1396
6897,7/12/2024,6618,516.94,334
12382,8/29/2024,830,758.96,782
9976,10/20/2024,4348,148.35,301
5957,12/30/2023,8681,693.67,137
8450,6/18/2024,3575,721.84,1184
14945,6/14/2024,9522,954.23,991
6813,9/6/2024,4759,913.78,1206
12604,10/23/2024,7420,507.4,1084
1022,6/7/2024,7073,766.87,1243
5606,6/22/2024,3811,314.02,80
14711,12/26/2023,275,394.39,1916
9825,10/19/2024,3495,630.44,1100
10666,3/11/2024,7865,386.69,278
14204,5/1/2024,5856,405.54,1450
4433,8/1/2024,441,127.98,1481
99,7/9/2024,7243,826.56,451
8827,10/4/2024,8235,422.47,264
1036,7/31/2024,544,854.47,248
12274,8/18/2024,2535,730.52,1306
12288,12/5/2023,1688,612.09,1444
4712,3/30/2024,1911,850.01,1004
9791,9/10/2024,1203,867.92,1024
1424,3/5/2024,4552,52.13,1207
12572,12/24/2023,8606,762.91,825
8986,6/6/2024,7,354.92,1284
13222,9/30/2024,57,871.23,667
3619,8/19/2024,389,54.56,788
9813,10/18/2024,6341,51.47,726
12770,6/6/2024,8537,456.7,1080
13133,2/16/2024,6805,912.58,1642
358,5/23/2024,2000,189.93,130
2244,5/19/2024,9513,654.15,189
8097,10/18/2024,5140,935.29,443
12011,12/26/2023,7178,836.12,240
1504,9/29/2024,9952,695.96,895
12747,6/14/2024,7160,274.48,1744
8445,12/12/2023,9141,58.58,11
2111,11/10/2023,5048,463.7,1522
4385,9/11/2024,4432,564.88,620
2233,11/19/2023,1341,366.11,1468
3986,12/10/2023,9001,791.36,1937
11881,1/25/2024,3860,331.96,864
7464,5/1/2024,2761,623.7,1183
4310,4/24/2024,7667,554.63,1051
6345,7/19/2024,9492,126.97,1519
14941,1/19/2024,4223,405.58,428
1442,10/31/2024,310,597.64,271
110,3/26/2024,1052,439.18,1753
7440,3/14/2024,8138,170.56,958
805,5/15/2024,8036,902.78,1444
10816,8/6/2024,6084,213.19,1414
12195,6/20/2024,2995,108.56,1596
7022,10/4/2024,998,921.78,1645
10404,3/6/2024,5356,283.22,283
12598,8/31/2024,4258,67.79,1573
14612,11/3/2024,8720,785.89,1176
8811,5/27/2024,1097,326.87,35
8843,5/16/2024,8400,751.15,1357
13540,5/17/2024,9881,625.83,1384
1519,12/5/2023,9821,991.71,793
11963,6/1/2024,5470,20.95,397
4795,11/19/2023,3559,419.09,1045
1863,5/26/2024,5094,690.08,842
1971,7/10/2024,5853,855.64,235
14965,12/1/2023,2213,668.39,432
4317,4/14/2024,6220,750.78,1367
5192,3/13/2024,1300,390.76,1215
2456,9/28/2024,5090,595.68,3
4936,4/25/2024,8686,672.59,1686
9314,2/21/2024,9893,210.36,586
3024,8/7/2024,8657,828.39,253
3118,5/28/2024,4393,92.9,1700
4403,1/20/2024,6152,307.27,739
4496,1/6/2024,1376,735.08,1899
12529,12/20/2023,4795,33.26,139
13304,2/7/2024,5944,487.73,1640
14837,8/20/2024,3253,928.09,976
5482,11/14/2023,3546,685.78,427
12167,8/8/2024,8823,228.54,809
12848,11/14/2023,5591,944.88,1651
6606,4/15/2024,8536,386.82,1949
9355,12/24/2023,9995,166.22,1495
5135,11/20/2023,6566,464.03,1365
7319,9/30/2024,1917,748.08,1423
14058,4/5/2024,9851,974.41,1323
